Chemical Reaction,Stoichiometric Coefficient (Toluene),Stoichiometric Coefficient (Nitric Acid),Concentration of Toluene (mol/ml),Concentration of Nitric Acid (mol/ml),Process Temperature (Tp) (K),Maximum Temperature of Thermal Runaway (MTT) (K),Degree of Accumulation (xr),Reaction Order (Toluene),Reaction Order (Nitric Acid),Activation Energy (Ea) (kJ/mol),Arrhenius Factor (A),Td24 (K),Thermal Inertia Factor (Φ),ITHI Value (With Inertia),ITHI Value (Without Inertia)
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.7412063868546466,0.2840951062119194,978.263944227325,1121.4126355660987,0.6280317060602778,1,1,103.0928137954688,37612212233672.64,918.3202984151044,0.2334528896442932,-2.830715135154083e-07,-1.212542341826301e-06
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.2854020889541131,0.4967903388587693,992.5485105892634,1112.3578302865208,0.0338614816846393,1,1,61.3961698340452,5614535983071.846,1049.7457002658982,1.9574494340866695,4.005628458918754e-06,2.0463509244047203e-06
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.1676214385323051,1.6312207293359136,389.77374395154544,899.2342836833467,0.7067272660487931,1,1,143.90439134536922,57046184642439.195,1162.2203412508866,0.7568773187500203,0.0001683884424952,0.0002224778551606
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.1965224565370225,1.8896300352178117,548.3256551623937,1361.091893105641,0.6109017136816214,1,1,191.20192551990527,68851892953620.664,694.1630335234906,0.8137074785186672,0.0001253610079237,0.000154061516249
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.5701796643429781,0.1027088837463119,586.1081497933853,927.84175340804,0.4826310108556798,1,1,155.21612380031925,94711572283192.78,513.9340348241648,0.6871772110489597,-1.4144166166852006e-06,-2.0582996553772896e-06
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.379439613765172,1.9553172747816543,848.0451570586266,684.6585441335966,0.6502152770745874,1,1,71.8738332088286,69902748149712.87,1093.6427802437472,1.1219734906961938,2.9841831962498182e-05,2.6597626601659797e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.321277085611863,0.9247451489741472,705.6552097040642,807.3379841115859,0.8833832602248749,1,1,83.77532193560513,58177532979677.65,1040.7247365018586,1.921562078697436,0.0001639384905428,8.531521950826374e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.992628210752495,0.8118408741411959,574.4793733202629,830.9402011169124,0.9438199796119592,1,1,195.5630485087255,80123325478181.81,1069.2280378084813,0.9506790608309652,0.0002702988723498,0.0002843218952499
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.2545626832196095,0.7544132878126577,337.2047145210635,856.5522034409368,0.736209448177569,1,1,193.23041381052025,42836236689315.47,1165.342711904655,1.375345262323714,0.0004339631852358,0.0003155303596296
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.8375148416412914,0.1537413637528615,839.8407203256435,910.720438041672,0.9760854244050912,1,1,170.43568723633365,32636672624018.062,654.8323649970612,1.8678920955544351,-1.1806140984433998e-05,-6.32056905885115e-06
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,1.9266933979084893,1.099671243409378,859.9007552270238,1306.8989060417323,0.0447874716794104,1,1,59.73787972126023,44957249222949.5,1009.3795594702405,1.3970115142207755,2.7350560265574376e-05,1.957790611398787e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.6659328569414014,0.7880826886124499,551.9991666078411,803.7513631137604,0.811122064816863,1,1,56.53538894161244,77612559394560.97,785.3368756775427,1.818512237852294,5.1407348755047706e-05,2.826890448411884e-05
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.7697139891923671,0.5560729956518845,917.7451891934026,1246.3186903385945,0.7684245104093754,1,1,127.55253625070748,6557748950368.528,875.2012635675746,1.8688346458832432,-4.135093935935847e-06,-2.21265907342034e-06
C7H8 + HNO3 -> C7H7NO2 + H2O,1,1,0.4065979809379279,1.525738961472333,745.0294340572634,1306.0686841978215,0.6068402467060513,1,1,141.89865724032958,50966697201952.08,851.8736128682165,0.4443716594871741,5.765116406248551e-06,1.2973636556619672e-05
