Molar_Mass (g/mol),Number_of_Atoms (n),Temperature (K),Concentration (mol/L),Heat_Capacity (J/mol·K)
118.61663446573512,45,424.31058568474145,0.919563017038139,435.9010698827844
285.7071488588757,32,333.9548765688364,0.7921837907528458,392.2152790969787
222.27824312530748,30,507.9167621459479,0.03279237873976114,450.35000610824375
183.6109604171406,47,129.08435599868542,0.6548535388783636,280.4128236165332
55.245405728306594,35,351.78715645205114,0.7735342018345406,360.2380127472494
55.23841089749877,40,470.0860487849676,0.3806910160232178,443.6798203162817
26.844247528777842,16,642.5036938209687,0.0782323239735466,437.3721472924667
261.19108227473123,13,343.86187826361686,0.08654785483389937,320.84004767464285
184.32335340553055,50,219.86661270137472,0.11320449639129139,343.17916947759403
215.34104756085318,42,168.58034163924685,0.8420352356606187,310.98597312086156
15.969503345782709,30,946.478644421845,0.9115793362731559,610.751048703624
291.2738571269783,19,474.97515196463127,0.13158267402727647,428.11409958254876
251.4083658321223,17,623.0463590627437,0.24354697424913038,499.91836145171783
71.57834209670008,19,927.2588966520036,0.17386530526361688,616.9737724187968
62.729240490059176,28,174.4735780317755,0.1944576706991795,247.32147723697588
63.18730785749581,26,888.9953373332135,0.8391158811124672,619.7982017200562
98.23025045826594,37,596.429085289663,0.33882494852838957,475.3473511528755
162.17936517334897,26,248.35083502330085,0.3183298214051848,299.4157273977368
135.26405540621357,23,470.12960492683214,0.2351216646683415,400.05046217407386
94.45645065743216,9,799.842055361703,0.6118154498563161,537.4331479170104
187.43733946949004,12,532.3330736797192,0.38551264140169333,429.92512488026136
50.45321958909213,1,986.757445598954,0.746807155324856,598.8658289240625
94.72194807521326,1,439.06507294414666,0.21352401029188112,328.38106206988544
116.24493455517059,47,774.6204699784648,0.7899119898273474,617.8503444794458
142.26029542294043,34,453.6905040809732,0.6076843164128376,422.508989131172
237.70102880397394,32,846.247798635863,0.12312462705513086,626.1517773601486
67.90539682592433,48,612.1733222491729,0.4203595383615914,517.2538217974239
159.12798713994738,25,157.1606466310012,0.8648829592068273,264.3606497114729
181.8002249699923,40,133.13968087239223,0.9237306294805,286.31257415847693
23.47061968879934,45,220.46690692056987,0.4710431210956251,294.14235419952524
186.18800705141712,1,112.30476834429756,0.48602860830818284,195.19528884611887
59.451995869314544,16,167.82315431721608,0.9192701776899082,235.8614786635948
28.86496196573106,39,722.5429574520208,0.5911975418952016,534.6958403594358
